Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
53,Podillow,12,1,113,Novelties,Anthony and Tina Calvert,"Santee, CA",Santee, CA,http://www.podillow.com/,250000,0.33,757576,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,A face-down tanning and massage pillow with storage pockets.
54,Wee Can Shop,12,1,113,Baby and Children's Entertainment,Kimberly and Matthew Foley,"Hawthorne, NJ",Hawthorne, NJ,,200000,0.3,666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,A store designed for kids to do the shopping.
55,Lipstix Remix,13,1,114,Personal Care and Cosmetics,Jill Quilln,"Knoxville, TN",Knoxville, TN,http://www.lipstixremix.com/,105000,0.3,350000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC+DJ,Barbara Corcoran,Daymond John,,,,FALSE,A way to save the lipstick that gets stuck at the bottom of the tube.
56,Captain Ice Cream,13,1,114,Specialty Food,Tim Gavern,"Monrovia, CA",Monrovia, CA,,48000,0.25,192000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,A mobile novelty ice cream vending business.
57,Legal Grind,13,1,114,Professional Services,Jeff and Annie Hughes,"Santa Monica, CA",Santa Monica, CA,http://www.legalgrind.com/,200000,0.15,1333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,A coffeehouse that is also a legal resource center.
58,Caffeindicator,13,1,114,Novelties,Michael Schiavone,"Mt. Joy, PA",Mt. Joy, PA,,200000,0.25,800000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,Others,Others,,,,,FALSE,"Is that decaf? Are you sure? If you've ever felt paranoid about whether you're really getting decaf, and making sure that you're not unwittingly setting yourself up for a sleepless night, Caffeindicator could be for you. Caffeindicator is a litmus-like indicator to test whether coffee is regular or decaf. But this isn't a stand-alone product, at least not the way it was pitched. The idea is to get these indicators printed on the sugar or artificial sweetener packets that you see at the coffee shop, restaurant, or diner. It would have been a good idea for distribution, since it takes advantage of how these packets are already ubiquitous. Unfortunately for the caffeine-averse though, this product still hasn't hit the market, even years after its Shark Tank debut. What was demonstrated on the show was a mock prototype, and the entrepreneur hadn't even yet begun to approach the sweetener packet manufacturers or estimating the cost of such an add-on feature."
59,Qubits,14,1,110,Toys and Games,Mark Burginger,"Orlando, FL",Orlando, FL,http://www.qubitstoy.com/,90000,0.51,176471,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,DJ,Daymond John,,,,,FALSE,"Move over, Legos! Qubits is a new construction toy for kids. Recommended for ages 4 to 16, even adults could have fun with these new shapes. Created by an independent inventor, Qubits encourage exploration in engineering, architecture, geometry and design. Unlike Lincoln Logs or Tinker Toys, or even Legos in recent years, there's no pre-determined plan to follow with Qubits, only your imagination. Parents will also appreciate that Qubits are dishwasher-safe! Qubits are 100% made in the USA."
60,Nubrella,14,1,110,Novelties,Alan Kaufman,"Boston, MA",Boston, MA,http://nubrella.com/,200000,0.25,800000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,DJ,Daymond John,,,,,FALSE,"A reinvented umbrella that is hands-free, impossible to invert, and protects the user from wind chill."
61,Llama Brew,14,1,110,Gardening,Aida and Phil Lough,"La Habra, CA",La Habra, CA,http://www.llamabrew.com/,125000,0.1,1250000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,"A liquid, organic fertilizer made from ""llama doo""."
62,Send A Ball,14,1,110,Novelties,Michele Kapustka and Melisa Moroko,"Chicago, IL",Chicago, IL,http://www.sendaball.com/,86000,0.2,430000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,"If you want to shake things up in your greeting card practices, why not deliver those happy sentiments on a bouncy ball instead? The medium is the message, after all. Send-A-Ball will literally send a bouncy ball in the mail on your behalf to any recipient you designate. Your greetings will be all the more happily received this way! Send-A-Ball is run by two sisters who live across the street from each other, and wanted to have a business that would give them the freedom and flexibility to spend time with their families."
